,V3,V2,V4,V1,x
NMB108,0.018732486,0.538757778,0.831926867,0.119632718,2
NMB109,0.997934878,-0.007533751,0.045112466,-0.041356498,4
NMB110,0.969445141,0.104505097,0.107107513,0.192082372,4
NMB111,0.938448468,0.207000495,0.077982409,0.262913509,4
NMB112,0.030008564,0.460111058,0.876592714,0.125778856,2
NMB113,-0.036585848,0.191706522,0.979905104,0.029682004,2
NMB115,0.026056621,0.996571554,0.05183243,0.056224787,1
NMB116,0.049018345,0.987505054,0.113369649,0.095887014,1
NMB118,0.9459342,0.124393745,0.009680008,0.297603701,4
NMB119,0.915249694,0.113425937,0.343258899,0.176047746,4
NMB123,0.162701917,0.38500713,0.907230252,0.024799054,2
NMB125,0.991482501,-0.031049622,0.103565563,-0.070131615,4
NMB127,0.055550377,0.226830965,0.008374433,0.971413137,3
NMB128,0.355726757,-0.019874889,0.933768508,0.004623413,2
NMB130,0.991022205,-0.012938342,0.127002267,-0.035110432,4
NMB132,0.839065066,0.104417092,0.331806093,0.416814613,4
NMB134,0.989224348,0.025684288,0.093066207,0.107811699,4
NMB135,0.052947335,0.997090615,0.051789356,-0.000858917,1
NMB136,0.783635214,-0.02945356,0.077532901,0.614550796,4
NMB138,0.003787217,0.179476313,0.98210343,0.05055995,2
NMB140,0.989375475,0.093644945,0.108571509,0.009789606,4
NMB141,0.086208348,0.441732083,0.871656044,0.186411577,2
NMB142,0.993163426,0.093619979,0.06302389,0.019548445,4
NMB143,0.04925675,0.155183996,0.980748121,0.104558848,2
NMB145,0.190739574,0.141173345,-0.102825614,0.96482353,3
NMB146,0.990419154,-0.058126374,0.122207067,-0.019865199,4
NMB147,0.077091905,0.441124465,0.892561042,-0.02154288,2
NMB148,0.486107769,0.174569492,0.321383372,0.792629936,3
NMB149,0.974289323,-0.007468263,0.02073991,0.222368279,4
NMB151,0.99347668,0.041092777,0.087974021,0.056694852,4
NMB152,0.934913955,0.17444707,0.028798059,0.305895547,4
NMB153,0.323183767,0.259546629,0.103742119,0.903143319,3
NMB156,0.050161555,0.16400497,0.980864205,0.085292346,2
NMB165,0.990030815,0.135600107,-0.010810357,0.028728127,4
NMB166,0.833500178,0.041171987,0.104219795,0.539736964,4
NMB167,0.930950846,0.124753091,0.140578673,0.311120405,4
NMB168,0.441655609,0.111897685,0.829104809,0.322183004,2
NMB169,0.358852137,0.26750104,0.126524128,0.884275888,3
NMB17,0.123048352,0.049259415,0.144083162,0.97992359,3
NMB171,0.150501787,0.02958276,0.022468954,0.987242273,3
NMB172,0.904591095,0.242761636,0.06448086,0.34241008,4
NMB173,0.851862483,0.344740698,0.139714145,0.366705879,4
NMB175,0.207573422,0.18348822,0.124460813,0.952049088,3
NMB176,0.247616698,-0.056057493,-0.037452541,0.96579682,3
NMB177,0.989932737,0.001430828,0.135922203,-0.034458221,4
NMB178,0.910811391,0.260008283,0.147921744,0.282099819,4
NMB179,0.931389792,0.058428525,0.219085887,0.281563711,4
NMB180,0.985941729,0.058337844,-0.019529941,0.153069488,4
NMB181,-0.032717711,0.255049153,0.961052084,0.092917398,2
NMB183,0.998508946,0.014662186,-0.014523843,0.046890922,4
NMB184,0.002535479,0.404856878,0.10181335,0.907756894,3
NMB185,0.889887532,0.149150519,0.12025897,0.412196063,4
NMB186,0.932453076,0.07228553,0.071527905,0.345532393,4
NMB187,0.986559905,-0.090646462,0.095604366,-0.094421928,4
NMB188,0.369693994,0.4234262,0.116345022,0.817755281,3
NMB190,0.994184708,-0.055961967,0.029474447,-0.085040919,4
NMB199,0.998108579,0.035820663,-0.036730098,0.028432279,4
NMB2,0.554941465,0.141866474,0.410606247,0.70837258,3
NMB203,0.900780409,0.015929119,-0.141224057,0.409077709,4
NMB227,0.787228705,0.155323187,0.316331106,0.504588007,4
NMB250,0.89268256,0.231111411,0.207494887,0.324493828,4
NMB254,0.105889555,0.034252824,0.991501843,-0.061970918,2
NMB257,0.99923045,-0.008769982,0.004337344,-0.033933467,4
NMB258,0.010535613,0.998324406,0.033123056,0.042929257,1
NMB260,0.996772096,0.015588029,-0.030987229,0.069550165,4
NMB261,0.237447809,0.318604255,0.825083555,0.39985028,2
NMB262,0.761070098,0.337020937,-0.087930831,0.545601791,4
NMB266,0.997349831,-0.02592284,0.003995867,-0.065433443,4
NMB269,-0.092368222,0.196763507,-0.062544948,0.973236658,3
NMB272,0.15708911,-0.013761456,0.987086728,-0.008976437,2
NMB278,-0.002878386,0.166518096,0.972763675,0.153477974,2
NMB281,0.063573846,0.196624313,0.005650539,0.977530515,3
NMB283,0.993391931,-0.071812156,0.021058773,0.084986067,4
NMB318,0.127975274,0.230080434,-0.006573278,0.963707823,3
NMB32,0.063865048,0.071233941,0.994869118,0.022092703,2
NMB324,0.108257291,0.003896027,0.987040516,0.115936224,2
NMB325,0.602367053,0.340132144,0.137206713,0.707573728,3
NMB326,0.476322871,0.228187933,0.171350533,0.83044006,3
NMB328,0.108022413,0.105114546,0.987785471,-0.030284708,2
